artist,pos_count,nouns_count,verbs_count,adjs_counts,avgNounRatio,avgVerbRatio,avgAdjRatio,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,Compound Score,Positive Score,Negative Score,Neutral Score
'n Sync,462,41.7,109,26.9,0.09025974,0.235930736,0.058225108,0.1049421,0.6885,233670.7,0.7934,0.000122838,0.10604,-5.3725,0.3,5.4,0.07259,132.6948,4,0.7384,0.60823,0.1395,0.0788,0.7816
ABBA,345.5714286,35.35714286,78.42857143,23,0.102188274,0.226672172,0.066473988,0.319378571,0.592571429,242579.9286,0.761785714,0.003748596,0.374435714,-6.4395,0.857142857,6.428571429,0.035985714,118.7318571,4,0.728857143,0.533514286,0.153428571,0.09,0.756428571
Ace Of Base,259.5833333,31.5,55.91666667,17.25,0.121153846,0.215064103,0.066346154,0.043373333,0.741416667,213876.6667,0.780916667,0.067655792,0.084675,-6.837083333,0.583333333,5,0.049883333,116.5564167,4,0.822333333,0.699141667,0.147,0.070833333,0.782083333
Adam Sandler,308,45.33333333,59.88888889,21.77777778,0.147186147,0.194444444,0.070707071,0.598555556,0.558888889,194973.8889,0.516333333,8.19E-05,0.593933333,-11.01366667,0.888888889,5.777777778,0.3654,111.5503333,3.555555556,0.514555556,0.168755556,0.135777778,0.115888889,0.748777778
Adele,433.6875,37.875,95.9375,29.4375,0.087269585,0.221054147,0.067828341,0.4901475,0.5204375,266908.375,0.4473125,2.69E-05,0.13980625,-6.606875,0.5,4.75,0.0447375,127.302375,3.9375,0.2951625,0.42171875,0.1479375,0.0874375,0.76475
Aerosmith,340.5,48.28571429,61.5,23.42857143,0.142016807,0.180882353,0.068907563,0.134397857,0.408071429,266855.7143,0.7695,0.006461741,0.226242857,-6.895214286,0.785714286,5.714285714,0.041064286,135.7852143,3.857142857,0.497928571,0.4941,0.2055,0.092285714,0.702071429
Air Supply,285,23.83333333,72.66666667,14,0.083625731,0.25497076,0.049122807,0.31395,0.467,258104.5,0.497833333,0.00017479,0.174,-9.461333333,1,5.333333333,0.029133333,112.301,4,0.297166667,0.396066667,0.176166667,0.106166667,0.7175
Aiza Seguerra,304.75,49.25,47,25.5,0.16147541,0.154098361,0.083606557,0.74925,0.44325,242159.25,0.27675,0.00056494,0.11325,-11.56175,1,6,0.032875,124.5705,4,0.205,0.606025,0.2115,0.078,0.7105
Alabama,316.3333333,49,64,4.666666667,0.155063291,0.202531646,0.014767932,0.089956667,0.495333333,202564.3333,0.685,0,0.178,-7.594,1,8.333333333,0.047633333,115.9223333,4,0.719666667,0.348433333,0.176333333,0.053,0.770666667
Alan Parsons Project,265.75,30.375,61.375,15.625,0.114191729,0.230733083,0.058740602,0.2581,0.5885,266093.375,0.58475,0.01045047,0.1311625,-10.64925,0.625,4.625,0.038425,129.188875,4,0.532625,0.1487,0.09325,0.082875,0.82375
Alice Cooper,374.375,46.5,71.875,29.125,0.124331551,0.192179144,0.077874332,0.1082775,0.349625,257814.875,0.792625,0.002692588,0.184375,-8.04375,0.5,3,0.08225,123.268625,4,0.298,-0.243925,0.174375,0.149625,0.676
Alice In Chains,224.3076923,26.15384615,42,15.76923077,0.116758242,0.1875,0.070398352,0.087853406,0.375153846,287074.8462,0.750538462,0.027960774,0.218238462,-6.826384615,0.692307692,7.076923077,0.050676923,123.4449231,3.461538462,0.375769231,0.059484615,0.175384615,0.133846154,0.690692308
Alison Krauss,258.7,36.3,49.6,17.5,0.14015444,0.191505792,0.067567568,0.7176,0.5546,233302.5,0.327,0.030267528,0.17587,-11.2397,0.9,5.2,0.03645,132.8814,3.9,0.3953,0.6884,0.1137,0.0526,0.8335
