artist,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,compound,positive,negative,neutral
'n Sync,0.1049421,0.6885,233670.7,0.7934,0.000122838,0.10604,-5.3725,0.3,5.4,0.07259,132.6948,4,0.7384,0.60823,0.1395,0.0788,0.7816
ABBA,0.319378571,0.592571429,242579.9286,0.761785714,0.003748596,0.374435714,-6.4395,0.857142857,6.428571429,0.035985714,118.7318571,4,0.728857143,0.533514286,0.153428571,0.09,0.756428571
Ace Of Base,0.043373333,0.741416667,213876.6667,0.780916667,0.067655792,0.084675,-6.837083333,0.583333333,5,0.049883333,116.5564167,4,0.822333333,0.699141667,0.147,0.070833333,0.782083333
Adam Sandler,0.598555556,0.558888889,194973.8889,0.516333333,8.19E-05,0.593933333,-11.01366667,0.888888889,5.777777778,0.3654,111.5503333,3.555555556,0.514555556,0.168755556,0.135777778,0.115888889,0.748777778
Adele,0.4901475,0.5204375,266908.375,0.4473125,2.69E-05,0.13980625,-6.606875,0.5,4.75,0.0447375,127.302375,3.9375,0.2951625,0.42171875,0.1479375,0.0874375,0.76475
Aerosmith,0.134397857,0.408071429,266855.7143,0.7695,0.006461741,0.226242857,-6.895214286,0.785714286,5.714285714,0.041064286,135.7852143,3.857142857,0.497928571,0.4941,0.2055,0.092285714,0.702071429
Air Supply,0.31395,0.467,258104.5,0.497833333,0.00017479,0.174,-9.461333333,1,5.333333333,0.029133333,112.301,4,0.297166667,0.396066667,0.176166667,0.106166667,0.7175
Aiza Seguerra,0.74925,0.44325,242159.25,0.27675,0.00056494,0.11325,-11.56175,1,6,0.032875,124.5705,4,0.205,0.606025,0.2115,0.078,0.7105
Alabama,0.089956667,0.495333333,202564.3333,0.685,0,0.178,-7.594,1,8.333333333,0.047633333,115.9223333,4,0.719666667,0.348433333,0.176333333,0.053,0.770666667
Alan Parsons Project,0.2581,0.5885,266093.375,0.58475,0.01045047,0.1311625,-10.64925,0.625,4.625,0.038425,129.188875,4,0.532625,0.1487,0.09325,0.082875,0.82375
Alice Cooper,0.1082775,0.349625,257814.875,0.792625,0.002692588,0.184375,-8.04375,0.5,3,0.08225,123.268625,4,0.298,-0.243925,0.174375,0.149625,0.676
Alice In Chains,0.087853406,0.375153846,287074.8462,0.750538462,0.027960774,0.218238462,-6.826384615,0.692307692,7.076923077,0.050676923,123.4449231,3.461538462,0.375769231,0.059484615,0.175384615,0.133846154,0.690692308
Alison Krauss,0.7176,0.5546,233302.5,0.327,0.030267528,0.17587,-11.2397,0.9,5.2,0.03645,132.8814,3.9,0.3953,0.6884,0.1137,0.0526,0.8335
Allman Brothers Band,0.372,0.455785714,284544.7143,0.5965,0.097491746,0.22695,-10.37978571,0.928571429,5.357142857,0.036064286,117.8383571,3.857142857,0.683428571,0.585785714,0.133785714,0.068285714,0.798214286
Alphaville,0.130645455,0.608181818,248339.1818,0.655090909,0.073473091,0.242154545,-11.64763636,0.636363636,4,0.032163636,129.6074545,4,0.637363636,0.948145455,0.209545455,0.059363636,0.731272727
America,0.223,0.673,211387,0.581,0.000206,0.063,-10.205,1,2,0.029,130.771,4,0.818,0.708,0.121,0.116,0.763
