,Song ID,danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration ms,songPopularity
0,1R8uTKKZTWnHRkkpFWcJfd,0.441,0.512,3,-10.785,1,0.0387,0.802,0.00264,0.111,0.383,87.815,350173,42
1,1R8uTKKZTWnHRkkpFWcJfd,0.441,0.512,3,-10.785,1,0.0387,0.802,0.00264,0.111,0.383,87.815,350173,42
2,6162MRbYpLu1ZJHe7zHh8H,0.62,0.902,7,-4.967,1,0.027,0.0293,0,0.112,0.775,104.255,217787,48
3,4sFhx3eU00RrmrOsJxEnAs,0.216,0.829,11,-3.583,0,0.0443,0.00174,0.527,0.0772,0.665,179.758,207760,1
4,3H7sv3Krffn15BufUuXzf3,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38E-05,0.088,0.532,147.207,425653,68
5,14KZSrPmnLV3zFRxddFGor,0.398,0.876,11,-7.201,0,0.0412,0.00123,0,0.264,0.52,85.52,244667,19
6,14KZSrPmnLV3zFRxddFGor,0.398,0.876,11,-7.201,0,0.0412,0.00123,0,0.264,0.52,85.52,244667,19
7,2dqzRX6YCCUH0vJvo44mbv,0.72,0.626,6,-7.697,0,0.215,0.0558,4.74E-06,0.279,0.745,90.043,191548,46
8,706J9prVXY8vZHhp9VGiBE,0.686,0.539,0,-8.623,1,0.0349,0.131,1.94E-05,0.116,0.186,115.987,217285,58
9,581QOI2U9YqzuXW4qpxbG2,0.658,0.72,7,-8.878,1,0.0314,0.0166,0.00532,0.077,0.82,145.014,196133,34
10,1oXhwrBQoYPmqRic09R3cP,0.42,0.885,3,-3.005,1,0.0502,0.00663,0.00126,0.293,0.481,114.828,150293,22
11,3ZV4ljo9NWUn65ZpFrbDG4,0.794,0.478,11,-8.44,0,0.0987,0.133,0.00519,0.358,0.276,143.003,166528,56
12,7rlg4YMSJLUdqblhIgWfy9,0.519,0.636,3,-7.822,0,0.035,0.0764,0.000492,0.142,0.24,107.072,242827,34
13,7AssxKowBMbJidVrfUwk1m,0.668,0.515,7,-6.033,0,0.25,0.046,0,0.17,0.64,86.505,211712,67
14,6rmJUbUoVNkb4rTOBm7M1A,0.413,0.635,6,-6.115,0,0.0749,0.568,3.63E-06,0.358,0.148,129.209,240440,37
15,7jAlKIlV7VHrFFvrMSFNPS,0.643,0.83,11,-5.996,1,0.039,0.00323,1.20E-06,0.175,0.884,107.02,183734,30
16,6D99HChRGsm8FJafpxXPux,0.489,0.625,4,-5.652,1,0.0368,0.0436,0,0.14,0.463,130.035,198600,47
17,1ZZr5C2vRZCUCrFtHdtWlT,0.121,0.828,4,-4.248,1,0.0576,0.0214,0,0.229,0.527,205.061,188869,40
18,6DDgl6eVUPsjhxPW0P8kDA,0.362,0.855,4,-3.968,0,0.0362,2.87E-06,0.000216,0.101,0.444,117.666,263076,50
19,7sUsGumZP0R4EDTFBIIh3g,0.738,0.614,7,-7.148,0,0.0508,0.0753,4.59E-06,0.124,0.385,109.978,218707,48
20,4MaKtEaZwPXf8Wge5f63lp,0.451,0.257,9,-12.063,0,0.409,0.603,0.00122,0.188,0.104,213.38,152387,33
21,0CczqIwQrFvuiR0Q6g6IYP,0.789,0.593,5,-7.877,0,0.0582,0.383,1.29E-06,0.191,0.293,109.952,163747,44
22,4O3gIvlJvI6l4S0282V6T1,0.377,0.567,0,-6.485,1,0.0294,0.0188,0.00531,0.0953,0.143,188.48,228672,40
23,2kUn5FYkGy5HR5W62kHfkp,0.699,0.752,4,-5.612,0,0.0299,0.326,2.62E-05,0.0669,0.729,99.964,222093,32
24,23ImZO2UEsDFttkbS5R0rG,0.595,0.699,1,-5.113,1,0.025,0.00367,7.46E-05,0.368,0.481,92.496,256998,49
25,6Ruj78T9Lfu6fS4wwwh5bE,0.621,0.527,11,-6.597,1,0.032,0.135,0.00402,0.064,0.846,171.925,215520,32
26,3XdmXkx1UvwOSlE0bV0Kqj,0.577,0.438,6,-10.079,1,0.0345,0.864,0.0168,0.103,0.146,98.944,200830,34
27,4FFjpAcXSuvRCURxuipDRE,0.557,0.821,9,-5.309,1,0.0537,0.45,0,0.36,0.524,131.912,207644,18
28,0z8Vi155SMIybGrb1OcBO2,0.464,0.705,0,-7.246,1,0.0325,0.00538,0.00624,0.148,0.356,159.809,209086,31
29,7prI2XjCEtRVYPywEnWK24,0.453,0.803,2,-4.768,1,0.0445,4.66E-05,0.0655,0.0674,0.385,159.571,189949,33
30,4vac5c5wWZ23omHKYwB1fP,0.568,0.846,11,-3.602,1,0.0517,0.536,0.0976,0.0496,0.719,121.639,233080,38
31,4F64bD81m1w2v2bk4Jj0zW,0.475,0.773,4,-7.004,1,0.0308,1.92E-05,0.00195,0.121,0.578,137.089,245813,27
32,4hNqnaUOqwKei5RkC1IbrU,0.214,0.379,2,-12.877,1,0.0316,0.844,0.513,0.151,0.289,172.771,214840,35
33,3oD0K903AP8l8CqwAv1bOg,0.619,0.9,9,-6.041,1,0.0472,0.00264,0.0565,0.367,0.774,100.029,191640,38
34,7JPIRFlQL2acGnyqujDrDQ,0.633,0.715,6,-7.244,1,0.0304,0.0647,0,0.103,0.526,126.935,228458,54
35,4VWfey4ts0aMjxjyDwJGO7,0.57,0.833,4,-4.368,1,0.0681,0.000889,0.267,0.141,0.714,129.114,148355,26
36,5rqkJzlKCZCEAEhoJuasWm,0.482,0.868,0,-5.258,1,0.0488,0.0144,0,0.126,0.347,120.067,218089,31
37,5dzKyPT9eeUsIXKRn6T1Uz,0.257,0.269,10,-11.344,1,0.0331,0.778,0.231,0.112,0.0717,93.45,229279,34
38,1OCLpatReeEFSuvINgzVp0,0.58,0.74,3,-7.404,1,0.0491,0.242,0.000291,0.102,0.633,137.036,234481,51
39,7iXC3BTtnfg520LQ914WOR,0.31,0.917,11,-7.501,1,0.0924,0.00193,0.126,0.367,0.544,152.1,192267,21
